Phenotype,Ancestry,PMID,#Variants,#Variants (post LD expansion),GWAS catalog?
Glioma,EU,"19578367,21531791,21827660,22886559,",5,93,yes
Glycated_hemoglobin_levels,AS,"22290723,24244560,24647736,",10,351,yes
Glycated_hemoglobin_levels,EU,"19096518,20849430,20858683,24405752,",11,146,yes
Glycemic_traits,AS,"23575436,",6,104,yes
Glycemic_traits_pregnancy,EU,"23903356,",7,97,yes
Graves_disease,AS,"23612905,21900946,21841780,",22,882,no
Hair_color,EU,"20585627,23548203,",8,153,yes
HDL_cholesterol,AS,"19359809,21909109,",8,138,yes
HDL_cholesterol,EU,"18193043,19060906,19060910,19060911,20031538,20031564,20686565,20864672,24097068,",76,3729,yes
Heart_rate,EU,"23583979,",21,821,yes
Height,AA,"21998595,",12,260,yes
Height,AS,"19030899,19396169,19893584,20189936,20668459,23456168,",13,367,yes
Height,EU,"17767157,18193045,18391950,18391951,18391952,18952825,19343178,19570815,20397748,20881960,23563607,",191,8007,yes
Hematology_traits,EU,"19853236,23263863,",9,269,yes
Hodgkin_lymphoma,EU,"21037568,22286212,24149102,24920014,",9,199,yes
Homocysteine_levels,EU,"20031578,23824729,",12,397,yes
Hypertension,EU,"17554300,19304780,19430479,21626137,21909115,",13,651,yes
Hypothyroidism,EU,"21981779,22493691,",5,170,yes
IgA_nephropathy,AS,"22197929,",5,47,yes
IgE_levels,EU,"18846228,22075330,23146381,",5,183,yes
IgG_glycosylation,EU,"23382691,",17,202,yes
Immune_reponse_to_smallpox_secreted_IFN-alpha,EU,"22610502,",14,402,yes
Immune_reponse_to_smallpox_secreted_IL-1beta,EU,"22610502,",6,180,yes
Immune_reponse_to_smallpox_secreted_IL-2,EU,"22610502,",7,292,yes
Immune_response_to_smallpox_vaccine_IL-6,EU,"22542470,22610502,",10,209,yes
Inflammatory_bowel_disease,EU,"17068223,18758464,23128233,",112,4824,yes
Interstitial_lung_disease,EU,"23583980,",11,3488,yes
Intracranial_aneurysm,EU,"18997786,20364137,22961961,",6,587,yes
Juvenile_idiopathic_arthritis,EU,"23603761,",30,1000,no
Kawasaki_disease,EU,"26492816,",20,698,yes
Kawasaki_disease,AS,"21221998,21326860,22446961,22446962,",5,325,no
LDL_cholesterol,EU,"18179892,18193043,18193044,18262040,19060906,19060910,19060911,20686565,20864672,24097068,",58,2279,yes
Lipid_metabolism_phenotypes,EU,"19936222,22286219,",22,887,yes
Lipid_traits,AS,"24386095,",8,268,yes
Lipoprotein-associated_phospholipase_A2_activity_and_mass,EU,"20442857,22003152,23118302,",9,175,yes
Lung_cancer,AS,"21725308,23143601,",7,681,yes
Lung_cancer,EU,"18385676,18780872,18978787,18978790,19654303,20304703,22899653,24880342,",6,192,yes
Male-pattern_baldness,EU,"18849991,18849994,22032556,22693459,",8,3634,yes
Mean_corpuscular_hemoglobin,AS,"20139978,",15,1007,yes
Mean_corpuscular_hemoglobin,EU,"19862010,23263863,",9,159,yes
Mean_corpuscular_hemoglobin_concentration,AS,"20139978,",7,186,yes
Mean_corpuscular_volume,AS,"20139978,",15,923,yes
Mean_corpuscular_volume,EU,"19862010,23263863,",18,411,yes
Mean_platelet_volume,AA,"22423221,",11,322,yes
Mean_platelet_volume,EU,"19110211,19820697,22139419,24026423,",30,920,yes
Melanoma,EU,"18488026,19578364,21706340,21926416,21983785,21983787,23455637,24980573,",12,460,yes
Menarche_age_at_onset,EU,"19448620,19448622,19448623,21102462,",33,1937,yes
Menopause_age_at_onset,EU,"19448619,22267201,23307926,",17,904,yes
Metabolic_syndrome,EU,"21386085,22399527,",19,552,yes
Metabolite_levels,AS,"21909109,",16,382,yes
Metabolite_levels,EU,"19043545,20037589,21931564,22286219,22916037,23281178,23378610,",51,1618,yes
Migraine,EU,"20802479,21448238,21666692,22683712,23793025,",11,212,yes
Migraine_without_aura,EU,"23793025,",6,283,yes
Multiple_myeloma,EU,"22120009,23955597,",6,849,yes
Multiple_sclerosis,EU,"24076602,",109,3201,no
Myopia_pathological,AS,"19779542,21095009,21505071,21640322,22685421,23406873,",5,145,yes
Myopia_pathological,EU,"23049088,",32,575,yes
Neuroblastoma,EU,"18463370,21124317,22941191,",5,158,yes
Obesity,EU,"19151714,21552555,21708048,22484627,23563607,",35,1162,yes
Obesity_early_onset_extreme,EU,"18159244,20421936,23563609,",10,509,yes
Orofacial_clefts,EU,"19270707,19656524,20023658,22419666,22863734,",12,304,yes
